date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:45	334/334	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Oct%202021%2007:49:34%20GMT	https://mobile-tracker-free.com/terms	F:/MTF/mobile-tracker-free.com/terms	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:45	246880/246880	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:34%20GMT	https://mobile-tracker-free.com/sms-alert/	F:/MTF/mobile-tracker-free.com/sms-alert/index.html	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:46	246959/246959	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:35%20GMT	https://mobile-tracker-free.com/call-block/	F:/MTF/mobile-tracker-free.com/call-block/index.html	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:46	334/334	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Oct%202021%2007:49:35%20GMT	https://mobile-tracker-free.com/terms	F:/MTF/mobile-tracker-free.com/terms	(from https://mobile-tracker-free.com/call-tracker/)
13:19:48	247182/247182	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:35%20GMT	https://mobile-tracker-free.com/skype-tracker/	F:/MTF/mobile-tracker-free.com/skype-tracker/index.html	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:49	247215/247215	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:35%20GMT	https://mobile-tracker-free.com/hangouts-tracker/	F:/MTF/mobile-tracker-free.com/hangouts-tracker/index.html	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:49	246966/246966	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:35%20GMT	https://mobile-tracker-free.com/gps-live/	F:/MTF/mobile-tracker-free.com/gps-live/index.html	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:49	247147/247147	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:36%20GMT	https://mobile-tracker-free.com/line-tracker/	F:/MTF/mobile-tracker-free.com/line-tracker/index.html	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:49	247121/247121	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:38%20GMT	https://mobile-tracker-free.com/kik-tracker/	F:/MTF/mobile-tracker-free.com/kik-tracker/index.html	(from https://mobile-tracker-free.com/sms-tracker/)
13:19:49	334/334	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Oct%202021%2007:49:38%20GMT	https://mobile-tracker-free.com/terms	F:/MTF/mobile-tracker-free.com/terms	(from https://mobile-tracker-free.com/gps-tracker/)
